Posiciones repetidas: 100261
(266, 351)
(363, 849)
(381, 392)
(842, 874)
(418, 370)
(517, 902)
(367, 853)
(722, 452)
(501, 707)
(337, 866)
(708, 887)
(284, 367)
(927, 535)
(489, 575)
(588, 285)
(270, 302)
(309, 204)
(475, 764)
(777, 186)
(544, 667)
(355, 898)
(177, 842)
(18, 334)
(290, 555)
(901, 25)
(781, 755)
(142, 919)
(329, 652)
(75, 400)
(700, 901)
(421, 228)
(972, 98)
(612, 201)
(61, 861)
(866, 509)
(891, 18)
(877, 27)
(623, 459)
(632, 886)
(118, 129)
(388, 386)
(805, 479)
(678, 39)
(950, 792)
(420, 819)
(293, 11)
(166, 267)
(971, 43)
(406, 378)
(339, 837)
(212, 445)
(855, 661)
(622, 640)
(92, 923)
(147, 586)
(433, 265)
(343, 778)
(398, 633)
(495, 703)
(45, 764)
(942, 378)
(391, 400)
(444, 143)
(303, 708)
(197, 449)
(469, 556)
(697, 777)
(374, 763)
(432, 350)
(344, 954)
(736, 396)
(457, 253)
(37, 505)
(634, 295)
(157, 740)
(581, 252)
(415, 60)
(733, 465)
(145, 584)
(258, 361)
(719, 98)
(461, 686)
(576, 404)
(650, 935)
(25, 402)
(334, 388)
(11, 867)
(283, 966)
(871, 103)
(304, 247)
(89, 795)
(202, 538)
(315, 489)
(656, 491)
(859, 660)
(914, 943)
(522, 460)
(333, 197)
(958, 712)
(137, 554)
(780, 772)
(506, 779)
(231, 746)
(932, 735)
(275, 692)
(918, 926)
(558, 369)
(957, 892)
(872, 664)
(194, 956)
(413, 222)
(168, 819)
(78, 218)
(793, 288)
(673, 842)
(431, 942)
(124, 428)
(786, 747)
(34, 900)
(440, 467)
(539, 929)
(663, 831)
(426, 234)
(375, 797)
(949, 222)
(458, 731)
(817, 580)
(303, 465)
(33, 53)
(40, 759)
(517, 779)
(789, 758)
(683, 31)
(367, 990)
(962, 202)
(178, 605)
(323, 412)
(397, 701)
(83, 808)
(302, 522)
(839, 289)
(507, 856)
(415, 809)
(290, 958)
(424, 372)
(170, 408)
(834, 163)
(820, 498)
(511, 769)
(460, 449)
(333, 845)
(17, 404)
(326, 414)
(623, 604)
(351, 889)
(118, 28)
(268, 355)
(53, 751)
(136, 757)
(445, 341)
(378, 808)
(288, 528)
(899, 16)
(117, 77)
(463, 113)
(887, 633)
(818, 928)
(546, 967)
(698, 762)
(970, 103)
(255, 243)
(398, 708)
(843, 511)
(684, 953)
(45, 881)
(123, 837)
(469, 689)
(810, 671)
(923, 468)
(616, 834)
(690, 505)
(676, 36)
(879, 543)
(291, 30)
(23, 975)
(962, 985)
(157, 633)
(770, 464)
(76, 879)
(922, 279)
(908, 358)
(336, 659)
(121, 567)
(340, 791)
(368, 772)
(845, 782)
(884, 212)
(319, 187)
(176, 187)
(547, 924)
(877, 637)
(141, 883)
(328, 838)
(238, 457)
(402, 693)
(383, 800)
(441, 41)
(314, 281)
(833, 767)
(466, 556)
(768, 78)
(159, 595)
(823, 744)
(459, 445)
(920, 953)
(869, 122)
(318, 496)
(484, 984)
(525, 862)
(73, 871)
(313, 208)
(543, 654)
(910, 647)
(285, 138)
(702, 293)
(77, 808)
(317, 281)
(635, 770)
(912, 807)
(160, 220)
(109, 87)
(455, 111)
(916, 643)
(789, 635)
(955, 879)
(425, 168)
(722, 686)
(616, 181)
(542, 349)
(708, 621)
(639, 731)
(694, 520)
(881, 23)
(242, 459)
(62, 166)
(523, 688)
(530, 140)
(327, 198)
(221, 607)
(493, 730)
(334, 870)
(207, 540)
(647, 787)
(373, 772)
(947, 973)
(511, 906)
(347, 957)
(866, 135)
(852, 854)
(47, 52)
(340, 34)
(144, 893)
(877, 261)
(326, 21)
(605, 618)
(681, 42)
(884, 551)
(900, 332)
(743, 476)
(321, 651)
(88, 170)
(519, 847)
(300, 519)
(279, 246)
(710, 62)
(452, 730)
(666, 432)
(357, 579)
(267, 295)
(433, 51)
(917, 737)
(292, 242)
(663, 477)
(513, 444)
(324, 163)
(785, 439)
(589, 745)
(898, 206)
(497, 721)
(222, 518)
(483, 770)
(690, 364)
(72, 171)
(344, 656)
(418, 939)
(715, 899)
(404, 234)
(828, 738)
(443, 324)
(376, 801)
(853, 785)
(747, 498)
(620, 636)
(429, 361)
(475, 215)
(516, 839)
(719, 888)
(115, 124)
(25, 868)
(758, 662)
(50, 753)
(788, 455)
(901, 608)
(594, 498)
(414, 225)
(287, 637)
(769, 406)
(806, 679)
(15, 758)
(919, 924)
(86, 809)
(289, 9)
(586, 737)
(56, 876)
(471, 353)
(402, 808)
(826, 336)
(510, 729)
(42, 323)
(812, 355)
(321, 408)
(466, 675)
(46, 863)
(67, 172)
(233, 692)
(731, 85)
(473, 325)
(74, 880)
(551, 198)
(39, 50)
(869, 495)
(673, 92)
(431, 324)
(161, 416)
(401, 369)
(735, 394)
(133, 74)
(887, 223)
(463, 727)
(66, 127)
(857, 280)
(52, 62)
(352, 848)
(423, 945)
(709, 892)
(356, 404)
(981, 903)
(84, 399)
(229, 610)
(469, 211)
(342, 835)
(393, 358)
(697, 304)
(381, 807)
(517, 101)
(683, 773)
(796, 60)
(464, 573)
(450, 736)
(655, 491)
(754, 402)
(807, 668)
(574, 249)
(888, 864)
(316, 217)
(152, 874)
(341, 378)
(696, 359)
(297, 252)
(283, 433)
(527, 850)
(396, 240)
(714, 887)
(841, 511)
(329, 211)
(442, 530)
(121, 81)
(926, 800)
(107, 98)
(287, 366)
(474, 867)
(515, 907)
(773, 591)
(499, 716)
(540, 334)
(409, 244)
(653, 41)
(448, 798)
(625, 626)
(473, 765)
(201, 122)
(844, 980)
(597, 764)
(837, 173)
(505, 716)
(286, 445)
(16, 65)
(325, 473)
(823, 334)
(645, 790)
(996, 770)
(779, 748)
(27, 579)
(525, 448)
(818, 330)
(931, 953)
(783, 952)
(73, 385)
(550, 925)
(864, 500)
(698, 916)
(419, 237)
(59, 82)
(520, 704)
(903, 327)
(723, 59)
(465, 351)
(582, 258)
(324, 22)
(785, 556)
(236, 970)
(898, 325)
(607, 725)
(400, 718)
(614, 179)
(374, 856)
(33, 748)
(766, 78)
(676, 850)
(146, 837)
(418, 62)
(888, 216)
(443, 465)
(210, 316)
(567, 408)
(295, 245)
(929, 283)
(214, 271)
(108, 774)
(177, 542)
(915, 984)
(163, 607)
(940, 381)
(389, 385)
(216, 735)
(308, 247)
(453, 778)
(384, 783)
(294, 262)
(522, 109)
(372, 766)
(446, 93)
(891, 326)
(289, 134)
(787, 387)
(826, 487)
(863, 660)
(510, 836)
(21, 583)
(351, 320)
(872, 121)
(946, 800)
(473, 466)
(240, 451)
(445, 140)
(869, 660)
(212, 617)
(659, 42)
(899, 635)
(313, 490)
(320, 474)
(829, 343)
(792, 632)
(905, 319)
(875, 505)
(621, 21)
(658, 33)
(967, 41)
(861, 550)
(916, 921)
(810, 356)
(26, 407)
(655, 380)
(948, 490)
(291, 553)
(37, 53)
(390, 815)
(544, 183)
(784, 742)
(403, 804)
(297, 361)
(156, 564)
(89, 719)
(608, 617)
(866, 913)
(315, 157)
(760, 404)
(649, 621)
(813, 758)
(336, 876)
(926, 943)
(54, 762)
(515, 116)
(787, 763)
(439, 52)
(667, 849)
(960, 197)
(540, 449)
(780, 80)
(28, 749)
(88, 384)
(953, 892)
(519, 693)
(187, 52)
(791, 304)
(745, 482)
(300, 237)
(339, 369)
(71, 862)
(590, 762)
(756, 230)
(742, 401)
(357, 893)
(124, 600)
(306, 557)
(343, 318)
(419, 278)
(578, 821)
(285, 353)
(582, 505)
(324, 409)
(345, 654)
(437, 166)
(538, 883)
(651, 48)
(335, 571)
(676, 709)
(146, 568)
(937, 963)
(517, 711)
(37, 909)
(404, 384)
(157, 216)
(512, 457)
(323, 208)
(860, 281)
(25, 638)
(765, 404)
(638, 642)
(569, 377)
(18, 401)
(327, 665)
(290, 362)
(721, 86)
(170, 212)
(834, 879)
(359, 776)
(329, 845)
(347, 404)
(354, 392)
(333, 665)
(446, 456)
(891, 211)
(213, 451)
(674, 823)
(593, 301)
(42, 61)
(21, 972)
(872, 228)
(35, 908)
(752, 394)
(74, 618)
(597, 286)
(869, 537)
(786, 63)
(622, 835)
(161, 586)
(938, 898)
(260, 170)
(652, 660)
(299, 580)
(984, 252)
(13, 846)
(730, 480)
(571, 812)
(112, 23)
(790, 526)
(520, 126)
(829, 492)
(338, 585)
(317, 184)
(545, 925)
(451, 890)
(31, 638)
(734, 443)
(455, 718)
(312, 552)
(916, 812)
(934, 952)
(701, 899)
(574, 403)
(443, 895)
(316, 487)
(814, 354)
(726, 574)
(657, 485)
(966, 105)
(631, 631)
(207, 127)
(541, 875)
(177, 184)
(511, 469)
(559, 379)
(248, 243)
(799, 296)
(174, 223)
(656, 42)
(241, 862)
(93, 917)
(24, 644)
(870, 247)
